day,n1,n4,n31,n54,n105,n114,n163,n188,n215,n229,n288,n296,n332,n342,n410,n415,n429,n458,n469,n495,n506,n516,n519,n549,n613,n636,n644,n679,n722,n726,n740,n752,n769
2019-01-01,-0.017141077500137786,-0.030068852278514118,-0.00796248743695275,-0.001449660283068847,0.012403947591904737,0.014910244186377023,0.012046779910393527,0.012053118532066698,-0.00023420896017138185,0.012133397551452004,0.019514102675358913,0.01357558453693919,0.01231140676913404,0.009699647744543682,0.006769930536307959,0.009523294758820633,0.0038087349139178293,0.011070218885624131,0.01258568467728575,0.00769815668800522,0.01241889654007237,0.014338723268389883,0.012229383629186982,0.013471109652859544,0.011682351064350746,0.011538534511524349,0.016675662548236936,0.018057247849344076,0.01594845326303022,0.01920114932104126,0.008317403892394696,0.020016208252574035,0.014852298553572988
2019-01-02,-0.016214364182512025,-0.006564762509957411,-0.015974997027995503,-0.0035190993339471177,0.02029779454158742,0.02442767860050991,0.021053412238605834,0.02168336916888129,0.0008402669930106891,0.02223180587573559,0.026906944856387227,0.017301100792392592,0.020697054310386598,0.01743760783859738,0.009422324671977714,0.01593028023208169,0.006167581210329824,0.01844136776344385,0.021000935261848912,0.013241472836903393,0.021482849817284173,0.02501301945222571,0.019635863778661406,0.024605444065356252,0.020200130982640434,0.017782723538258455,0.023880065601882567,0.024447501026147123,0.020915708846134546,0.0254223008934904,0.010308864603711498,0.02625966390589755,0.01984501887830496
2019-01-03,-0.01112677081734518,0.00028043167381911854,-0.000657182715818827,-0.0013783573236440343,0.00449682952045638,0.005987702994562305,0.004234699129881392,0.0043245335412137225,0.0008598996785051938,0.00664699061354342,0.004213934715148859,0.0026088691352092277,0.004965873831925964,0.003988859512739751,0.0004398429785362386,0.0033231823625587964,0.0006742576802111581,0.0033273026196155206,0.0048003016436964545,0.0032836924437908976,0.004686108695056331,0.005760583400292359,0.0045377230100888495,0.005439095445772442,0.003920365211557512,0.0032051909820527413,0.003598466603295769,0.003777402342144557,0.0029343681457879947,0.003997930876487625,0.0015538866777464004,0.0038706207207421053,0.002749028167317628
2019-01-04,-0.015063648738392091,-0.03491703460314858,-0.0004672119739043505,-0.004717915928912279,0.0009346671156533759,0.0019320484520661079,-0.00034667708913863987,3.298906834666345e-05,0.00028187346690078385,0.0020892667268750387,0.0022198636709636808,0.00035795168091556917,0.0007914494417029516,0.000584743984416806,-0.003344741948588729,-0.0009637095219687808,-0.002331005950894157,-0.0006287831393431512,0.0012456460301555339,0.0005458803624215728,0.0011711934244692894,0.00234020190700542,-0.0006031818074735776,0.0014020844823446528,0.00018627604630131836,0.000895769111200965,0.0021839380908004933,0.0020393674255692793,0.0007972179792012923,0.0016207084257168585,0.0004696082604273381,0.00211565464728114,0.001233030617373861
2019-01-05,-0.015571968161303277,-0.026995313218017774,-0.0034531756793843016,0.0018478789436008707,-0.002972339642378271,-0.003980808036496401,-0.0015430369251664782,-0.002340558338234544,-7.671657586142781e-05,-0.00262267089309424,-0.0019570662983143805,-0.001055202139447431,-0.0021030015090959253,-0.0011555382261022966,0.0005993515280096062,-0.0010075458328773952,0.00035977772679244663,-0.0012635800755009068,-0.0028725399167734977,-0.0014579723471683792,-0.002667115282348457,-0.004645331083461102,-0.0014805491184238424,-0.0033437083442849533,-0.0017327065259514403,-0.0013948544562216725,-0.0018581880977445546,-0.0013688593096550978,-0.0012161233209061113,-0.0015733174890388095,-0.0008222783964312678,-0.0011773188622197968,-0.0012025776687130119
2019-01-06,0.029138654415232335,0.005594511211179191,0.008988624442983687,0.005159416657707953,0.0033581115413990523,0.0035203598462301144,0.0045605772314756265,0.004328685459662178,-7.013169210109045e-06,0.0030832472612708863,0.008680208160856276,0.005791458634693806,0.004163611210229827,0.0046659313788603995,0.0067755685148025435,0.004648273236220153,0.004423770562469009,0.00479458835591758,0.0038046162411946582,0.002574571009999952,0.003717843633113264,0.004617996266761774,0.0049207591519842,0.004345227760202815,0.004333344930368632,0.0047501321796667995,0.007244840179566244,0.00790906151330765,0.006922955797004526,0.00864901680258967,0.003558573805201526,0.008688530938742703,0.006586572119790486
2019-01-07,0.014905809945203519,0.06452167912581637,0.022663103012578862,0.0021864686633694674,0.0035372120165900376,0.003907271891143556,0.004648380541908341,0.004319249994770402,0.0002495288222341685,0.005391946600425672,0.006129383231934386,0.004519039624736543,0.004228333673545433,0.004187168555868759,0.0037511179628853717,0.004490656043093584,0.002992765271142043,0.003846910768897871,0.003859850075555412,0.0030862263014176015,0.0038230161702133003,0.004596059636887399,0.005143420482741412,0.004885348520268747,0.0046637988266808135,0.004194943559195252,0.005384334454173967,0.00585140324557513,0.005293646667371495,0.00622530611747892,0.0033418249653527354,0.006761994948927115,0.00477163567310986
2019-01-08,0.02643723078719577,-0.007131180346032255,0.010750129180404855,0.0016548302128465882,0.005071400171477928,0.006228149449761726,0.006248648395786205,0.006369926382945164,-0.00017160037008453108,0.006172021653789568,0.008135255524753878,0.0059645320088268505,0.005398320647481469,0.0052480704760501,0.0038898122828352477,0.005184275837096723,0.0030788694119880944,0.005716816790708161,0.005562870382929279,0.0038197870426719405,0.005481483743411768,0.006190195801577166,0.005889943604252028,0.006178487148112606,0.005670064150648339,0.005136435675149542,0.007212209947078681,0.0073940470727924534,0.007009096618877386,0.007713439534694426,0.003061508495308433,0.007876203524083655,0.006258077398535455
2019-01-09,-0.009343422217287975,-0.0078705306695106,-0.014218444920168771,-0.005143900020780912,0.012994145545194217,0.015903357820236035,0.01405089709933005,0.014269359586065752,0.0006352361141237495,0.015640241048652175,0.02052833825044953,0.012998512840998918,0.013870794863885353,0.012792997801973035,0.0032468475505426455,0.009516346048316748,0.0025543795270775624,0.012192565877125361,0.012916023310734381,0.0086101779608736,0.013741896128052211,0.016790752845921908,0.01290198383403407,0.01629653210144048,0.014136593485489199,0.013112461430450159,0.017837922710781662,0.018456720335497206,0.016298769863196227,0.02025025454680514,0.00792996947355551,0.020716485039479277,0.015438415648215909
2019-01-10,0.02812862066045178,0.01612280697859762,0.00991519949596468,0.001518943524277579,-0.0009910408900971983,0.00013708860152868615,-0.001980589366676888,-0.0016343195938362716,0.00028600683145748224,-0.0007552573556776446,-0.005249803054898194,-0.0033806698022420534,-0.001226418858043014,-0.001219568240219182,-0.0011393089875332645,-0.0010892519761285986,-0.0004463448500953149,-0.0016122178700343308,-0.001009719987595285,-0.0006560428896638845,-0.0005264162681711445,-6.575592399974776e-05,-0.0011265857131812496,-0.001076740215113503,-0.0015939051575083834,-0.0024477834655577033,-0.004402917460967437,-0.005225346082217956,-0.004004668539578186,-0.005048196531104073,-0.002203167637985596,-0.005485592826072565,-0.0040634832215615075
