pipe,kind,diameter_mm,onset,alarm_day,delay_days,sensor,score
p257,incipient,11.843,2018-01-08 13:30:00,2018-02-21,44,n215,4.014246960238383
p461,incipient,21.32,2018-01-23 04:25:00,2018-03-08,44,n215,187.09631116711492
p427,incipient,9.0731,2018-02-13 08:25:00,2018-03-23,38,n215,225.60684658414598
p673,abrupt,22.916,2018-03-05 15:45:00,2018-04-07,33,n114,29.226912394456082
p628,incipient,22.318,2018-05-02 14:55:00,2018-05-08,6,n613,5.681134986122011
p538,abrupt,21.731,2018-05-18 08:35:00,2018-05-23,5,n613,77.87946793329205
p866,abrupt,18.108,2018-06-01 09:05:00,2018-06-07,6,n296,64.33430229910516
p31,incipient,16.389,2018-06-28 10:35:00,2018-07-19,21,n31,5.842910897569875
p654,incipient,8.7735,2018-07-05 03:40:00,2018-08-03,29,n215,11.726078184267006
p810,incipient,10.028,2018-07-28 03:05:00,2018-08-18,21,n752,53.94152427283319
p183,abrupt,15.853,2018-08-07 02:35:00,2018-09-03,27,n410,5.903532670776535
p158,abrupt,19.364,2018-10-06 02:35:00,2018-10-18,12,n644,99.61959751995398
p369,abrupt,19.363,2018-10-26 02:05:00,2018-11-02,7,n410,120.8835301689207
